,observed_Q,basin_ppt,basin_tmin,basin_tmax,model_Q,basin_soil_moist,basin_snowmelt,basin_actet,basin_potet
30,0.0,0.0,257.10693,257.10693,3.5512169e-06,0.4278036,26.0355,1.8127723e-08,1.8127723e-08
31,0.0,0.0,264.49216,264.49216,3.501814e-06,0.42926398,25.736237,2.773435e-08,2.773435e-08
32,0.0,0.0,253.7422,253.7422,3.4749282e-06,0.4254085,25.273825,1.205068e-08,1.205068e-08
33,0.0,0.0,251.83789,251.83789,3.543823e-06,0.42756826,24.955885,2.3626757e-08,2.3626757e-08
34,0.0,0.0,254.9322,254.9322,3.5048627e-06,0.4295621,24.617638,1.6869965e-08,1.6869965e-08
35,0.0,0.0,256.34048,256.34048,3.4763118e-06,0.42715177,24.318277,1.1232496e-08,1.1232496e-08
36,0.0,0.0,254.83585,254.83585,3.4623065e-06,0.42535275,24.045033,2.7970671e-08,2.7970671e-08
37,0.0,0.0,262.06927,262.06927,3.5491696e-06,0.43048352,24.345526,1.052283e-08,1.052283e-08
38,0.0,0.0,266.65912,266.65912,3.4989514e-06,0.43023053,24.622576,3.7285247e-08,3.7285247e-08
39,0.0,0.0,264.82968,264.82968,3.474576e-06,0.42785662,24.388142,1.6599063e-08,1.6599063e-08
40,0.0,0.0,266.16647,266.16647,3.4626576e-06,0.42672592,24.140076,3.0805033e-08,3.0805033e-08
41,0.0,0.0,268.1402,268.1402,3.457849e-06,0.4266791,25.685398,7.3095117e-09,7.3095117e-09
42,0.0,0.0,262.78674,262.78674,3.4562204e-06,0.42620674,31.605724,1.1113229e-08,1.1113229e-08
43,0.0,0.0,252.63707,252.63707,3.5330231e-06,0.42843553,31.291943,1.6466291e-08,1.6466291e-08
44,0.0,0.0,259.9994,259.9994,3.5007947e-06,0.43036634,30.949043,2.5572303e-08,2.5572303e-08
45,0.0,0.0,253.8731,253.8731,3.471135e-06,0.42739484,30.465939,1.8740685e-08,1.8740685e-08
46,0.0,0.0,252.24832,252.24832,3.4571858e-06,0.42601126,30.165272,1.1068339e-08,1.1068339e-08
47,0.0,0.0,258.71268,258.71268,3.4509908e-06,0.4258237,30.334864,1.9367619e-08,1.9367619e-08
48,0.0,0.0,254.72664,254.72664,3.5567389e-06,0.43141302,30.019476,1.3956522e-08,1.3956522e-08
49,0.0,0.0,249.55707,249.55707,3.4830982e-06,0.42885816,29.733225,1.0897702e-08,1.0897702e-08
50,0.0,0.0,246.68849,246.68849,3.4610919e-06,0.42677498,29.472988,1.6875493e-08,1.6875493e-08
51,0.0,0.0,257.76038,257.76038,3.4517072e-06,0.42646295,29.819939,3.2851541e-09,3.2851541e-09
52,0.0,0.0,260.36865,260.36865,3.4493248e-06,0.42644805,30.442896,1.5721302e-08,1.5721302e-08
53,0.0,0.0,249.73016,249.73016,3.4857203e-06,0.4257774,30.113468,1.3343632e-08,1.3343632e-08
54,0.0,0.0,249.51627,249.51627,3.5244784e-06,0.43208796,29.83157,1.7921872e-08,1.7921872e-08
55,0.0,0.0,264.72128,264.72128,3.4746165e-06,0.4290068,30.75033,2.0477325e-08,2.0477325e-08
56,0.0,0.0,253.23387,253.23387,3.4581533e-06,0.4273062,31.009335,1.7484314e-08,1.7484314e-08
57,0.0,0.0,251.31808,251.31808,3.4503066e-06,0.4265207,30.642506,1.6411068e-08,1.6411068e-08
58,0.0,0.0,252.397,252.397,3.4459597e-06,0.42601565,30.24856,3.2910233e-08,3.2910233e-08
59,0.0,0.0,255.46968,255.46968,3.518251e-06,0.4284477,29.695848,3.7715385e-08,3.7715385e-08
60,0.0,0.0,263.4831,263.4831,3.5034702e-06,0.43125442,29.16162,2.844153e-08,2.844153e-08
61,0.0,0.0,260.58893,260.58893,3.46731e-06,0.4284004,28.671602,4.254733e-08,4.254733e-08
62,0.0,0.0,266.37704,266.37704,3.455096e-06,0.42757988,30.590364,1.1252371e-08,1.1252371e-08
63,0.0,0.0,253.26508,253.26508,3.4506397e-06,0.42704877,32.82551,1.4476958e-08,1.4476958e-08
64,0.0,0.0,250.47934,250.47934,3.4475609e-06,0.42654583,32.45307,2.6112412e-08,2.6112412e-08
65,0.0,0.0,262.19675,262.19675,3.482319e-06,0.4268168,31.942982,5.9073066e-08,5.9073066e-08
66,0.0,0.0,269.64877,269.64877,4.273208e-06,0.42771396,31.650816,5.6135534e-08,5.6135534e-08
67,0.0,0.0,271.3551,271.3551,1.2535979e-05,0.4286619,30.002733,1.0212301e-07,1.0212301e-07
68,3.125e-08,0.0,273.18552,273.18552,6.224242e-05,0.42896593,19.295439,1.7026001e-07,1.7026001e-07
69,2.060185185185185e-07,0.0,275.31818,275.31818,0.00010232697,0.42686853,7.610539,3.9974162e-07,3.9974162e-07
70,2.060185185185185e-07,0.0,274.52182,274.52182,8.3749816e-05,0.42830247,2.360244,3.0040457e-07,3.0040457e-07
71,1.0300925925925925e-07,0.0,277.5842,277.5842,5.512827e-05,0.4262379,0.7788276,8.086202e-07,8.086202e-07
72,4.12037037037037e-07,0.0,275.6033,275.6033,8.544053e-06,0.4243626,0.030057307,4.3653398e-07,4.3653398e-07
73,7.222222222222222e-07,0.0,278.07477,278.07477,3.1126406e-06,0.39728776,0.0,9.765959e-07,9.765959e-07
74,7.222222222222222e-07,0.0,279.55063,279.55063,2.7577248e-06,0.36872146,0.0,1.4063052e-06,1.4063052e-06
75,3.090277777777778e-07,4.6988953e-05,277.55606,277.55606,2.5876504e-06,0.36512646,0.0,3.0852613e-07,3.0852613e-07
76,3.090277777777778e-07,0.0,272.34998,272.34998,2.5624022e-06,0.35554245,0.0,6.371617e-07,6.371617e-07
77,2.060185185185185e-07,0.0,272.9549,272.9549,2.5061681e-06,0.3522007,0.0,7.420526e-07,7.420526e-07
78,2.060185185185185e-07,0.0,273.13797,273.13797,2.4730125e-06,0.3571462,0.106416844,6.1863085e-07,6.1863085e-07
79,8.217592592592593e-08,3.3733584e-05,274.98447,274.98447,2.5668999e-06,0.3603511,0.0,2.851457e-07,2.851457e-07
80,3.125e-08,0.0,267.55524,267.55524,2.7003025e-06,0.3686862,0.0,2.8845378e-07,2.8845378e-07
81,2.0833333333333335e-08,0.0,270.72415,270.72415,2.6612327e-06,0.36920238,0.0,5.8875423e-07,5.8875423e-07
82,6.13425925925926e-08,0.0,272.11755,272.11755,2.845559e-06,0.38014573,0.0,5.5180453e-07,5.5180453e-07
83,6.13425925925926e-08,0.0,276.04333,276.04333,2.711161e-06,0.37319848,0.0,1.097896e-06,1.097896e-06
84,5.208333333333333e-08,5.077915e-06,274.5324,274.5324,2.7895637e-06,0.38034508,0.13203645,1.02071226e-07,1.02071226e-07
85,2.0833333333333335e-08,0.0,270.8044,270.8044,2.8006375e-06,0.3784839,0.0,4.3401127e-07,4.3401127e-07
86,0.0,0.0,266.24194,266.24194,2.720075e-06,0.37445018,0.0,4.7458127e-07,4.7458127e-07
87,2.060185185185185e-07,0.0,269.74966,269.74966,2.810905e-06,0.3771175,0.0,8.690459e-07,8.690459e-07
88,3.090277777777778e-07,1.858837e-05,275.09512,275.09512,2.7408623e-06,0.38307104,1.8207867,4.992634e-07,4.992634e-07
89,1.0300925925925925e-07,0.0,274.99847,274.99847,2.9318824e-06,0.38933492,0.0,9.506112e-07,9.506112e-07
90,2.060185185185185e-07,0.0,278.07852,278.07852,2.8550949e-06,0.38167238,0.0,1.7934196e-06,1.7934196e-06
91,2.060185185185185e-07,0.0,279.757,279.757,2.7527701e-06,0.37542915,0.0,2.2432591e-06,2.2432591e-06
92,2.060185185185185e-07,0.0,280.19852,280.19852,2.6675382e-06,0.36951035,0.0,1.7896461e-06,1.7896461e-06
