#TOD, VSZ_CPL_N_0, RSS_CPL_N_0, VSZ_ATM_N_0, RSS_ATM_N_0, VSZ_LND_N_0, RSS_LND_N_0, VSZ_ICE_N_0, RSS_ICE_N_0, VSZ_OCN_N_0, RSS_OCN_N_0, VSZ_GLC_N_0, RSS_GLC_N_0, VSZ_ROF_N_0, RSS_ROF_N_0, VSZ_WAV_N_0, RSS_WAV_N_0, VSZ_IAC_N_0, RSS_IAC_N_0
20110422.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110424.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110424.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110424.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110426.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110428.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110428.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110428.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110430.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110500.00000,   129233.938,      221.598,   129233.938,      221.598,   129233.938,      221.598,   129233.938,      221.598,   129233.938,      221.598,   129233.938,      221.598,   129233.938,      221.598,   129233.938,      221.598,   129233.938,      221.598
